period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",157
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Accountants,139
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Leidinggevenden,133
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,111
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,102
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Voer- en werktuigherstellers,92
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Tekenaars en vormgevers,91
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,HR-experts,87
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,63
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Bewerkers van voeding,60
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",30
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Experts vastgoed,22
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Horecaberoepen,Horecapersoneel,22
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Medewerkers in finance,21
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,19
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Juridische dienstverleners,16
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,15
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,15
